Date,Qobs [m^3 s^-1]
10/2/2000,31.28138154
10/3/2000,29.1826307
10/4/2000,27.88340399
10/5/2000,25.78465315
10/6/2000,24.68530748
10/7/2000,24.58536696
10/8/2000,23.88578335
10/9/2000,23.18619974
10/10/2000,22.68649715
10/11/2000,22.28673509
10/12/2000,21.58715148
10/13/2000,21.0874489
10/14/2000,20.68768683
10/15/2000,20.38786528
10/16/2000,19.8881627
10/17/2000,19.68828167
10/18/2000,20.28792477
10/19/2000,21.88697303
10/20/2000,20.88756786
10/21/2000,20.98750838
10/22/2000,19.98810322
10/23/2000,19.28851961
10/24/2000,18.98869806
10/25/2000,18.58893599
10/26/2000,18.18917393
10/27/2000,17.9892929
10/28/2000,17.68947135
10/29/2000,17.48959032
10/30/2000,17.08982825
10/31/2000,16.19036361
11/1/2000,16.29030412
11/2/2000,14.79119638
11/3/2000,14.8911369
11/4/2000,16.19036361
11/5/2000,15.69066103
11/6/2000,12.59250503
11/7/2000,11.39321884
11/8/2000,10.99345677
11/9/2000,10.39381367
11/10/2000,9.99405161
11/11/2000,9.874122991
11/12/2000,9.514337133
11/13/2000,9.604283597
11/14/2000,9.574301442
11/15/2000,9.884117042
11/16/2000,10.29387316
11/17/2000,10.09399213
11/18/2000,10.49375419
11/19/2000,10.79357574
11/20/2000,10.39381367
11/21/2000,10.39381367
11/22/2000,10.89351625
11/23/2000,11.1933378
11/24/2000,11.99286193
11/25/2000,12.59250503
11/26/2000,12.99226709
11/27/2000,13.19214813
11/28/2000,12.89232658
11/29/2000,12.19274296
11/30/2000,12.69244554
12/1/2000,12.59250503
12/2/2000,12.392624
12/3/2000,12.59250503
12/4/2000,11.29327832
12/5/2000,11.29327832
12/6/2000,10.09399213
12/7/2000,9.654253855
12/8/2000,8.594884385
12/9/2000,8.484949817
12/10/2000,7.985247236
12/11/2000,7.875312669
12/12/2000,7.955265082
12/13/2000,8.075193701
12/14/2000,8.235098527
12/15/2000,8.544914127
12/16/2000,8.624866539
12/17/2000,9.034622655
12/18/2000,9.354432307
12/19/2000,10.09399213
12/20/2000,9.99405161
12/21/2000,9.454372823
12/22/2000,10.09399213
12/23/2000,10.59369471
12/24/2000,10.89351625
12/25/2000,10.89351625
12/26/2000,10.89351625
12/27/2000,10.79357574
12/28/2000,10.69363522
12/29/2000,10.39381367
12/30/2000,10.19393264
12/31/2000,9.844140836
1/1/2001,10.19393264
1/2/2001,9.99405161
1/3/2001,10.09399213
1/4/2001,9.984057558
1/5/2001,9.68423601
1/6/2001,9.504343081
1/7/2001,8.894705933
1/8/2001,8.694824901
1/9/2001,8.994646449
1/10/2001,8.914694036
1/11/2001,8.434979559
1/12/2001,8.554908178
1/13/2001,8.395003352
1/14/2001,8.50493792
1/15/2001,8.584890333
1/16/2001,8.235098527
1/17/2001,8.484949817
1/18/2001,8.514931972
1/19/2001,8.56490223
1/20/2001,8.614872488
1/21/2001,8.544914127
1/22/2001,8.414991456
1/23/2001,7.855324565
1/24/2001,7.875312669
1/25/2001,8.594884385
1/26/2001,8.764783262
1/27/2001,8.25508663
1/28/2001,8.095181804
1/29/2001,8.424985507
1/30/2001,8.614872488
1/31/2001,8.44497361
2/1/2001,8.44497361
2/2/2001,8.50493792
2/3/2001,8.275074733
2/4/2001,7.935276978
2/5/2001,7.815348359
2/6/2001,7.455562501
2/7/2001,7.125758798
2/8/2001,6.965853972
2/9/2001,7.535514914
2/10/2001,7.465556553
2/11/2001,7.825342411
2/12/2001,7.88530672
2/13/2001,7.845330514
2/14/2001,8.015229391
2/15/2001,8.135158011
2/16/2001,7.645449482
2/17/2001,7.735395946
2/18/2001,7.795360256
2/19/2001,7.895300772
2/20/2001,7.995241288
2/21/2001,7.995241288
2/22/2001,7.895300772
2/23/2001,7.795360256
2/24/2001,7.595479224
2/25/2001,7.295657675
2/26/2001,7.195717159
2/27/2001,7.195717159
2/28/2001,7.295657675
3/1/2001,7.495538708
3/2/2001,7.195717159
3/3/2001,6.995836127
3/4/2001,6.795955095
3/5/2001,6.895895611
3/6/2001,7.195717159
3/7/2001,7.395598191
3/8/2001,7.315645779
3/9/2001,6.616062166
3/10/2001,6.296252514
3/11/2001,6.386198979
3/12/2001,6.436169237
3/13/2001,6.486139495
3/14/2001,6.446163288
3/15/2001,6.266270359
3/16/2001,6.39619303
3/17/2001,6.636050269
3/18/2001,6.70600863
3/19/2001,6.895895611
3/20/2001,6.815943198
3/21/2001,6.855919404
3/22/2001,6.745984837
3/23/2001,6.366210876
3/24/2001,6.76597294
3/25/2001,7.225699314
3/26/2001,7.445568449
3/27/2001,7.285663624
3/28/2001,7.405592243
3/29/2001,7.345627933
3/30/2001,7.245687417
3/31/2001,7.035812333
4/1/2001,7.125758798
4/2/2001,7.285663624
4/3/2001,7.215705262
4/4/2001,7.055800437
4/5/2001,7.045806385
4/6/2001,7.165735004
4/7/2001,7.175729056
4/8/2001,7.275669572
4/9/2001,7.405592243
